uav_id,cluster_id,throughput_kbps,pdr,avg_delay_ms,sinr_db,jammed,drop_prob
0,0,0.0425229,1,4.63745,-0.055501,1,0.32222
1,0,0,0,0,-10.1353,1,0.725411
2,0,0,0,0,0.918322,1,0.283267
3,0,0,0,0,-9.34794,1,0.693918
4,0,0,0,0,1.2857,1,0.268572
5,0,0,0,0,2.96537,1,0.201385
6,1,0,0,0,4.0841,1,0.156636
7,1,0,0,0,1.13788,1,0.274485
8,1,0,0,0,1.54203,1,0.258319
9,1,0,0,0,3.42234,1,0.183106
10,1,0,0,0,4.36393,1,0.145443
11,1,0,0,0,4.55792,1,0.137683
12,2,0,0,0,-9.91534,1,0.716613
13,2,0,0,0,-1.11476,1,0.36459
14,2,0,0,0,-0.613631,1,0.344545
15,2,0,0,0,-2.89776,1,0.43591
16,2,0,0,0,0.455772,1,0.301769
17,2,0,0,0,3.70954,1,0.171618
