uav_id,cluster_id,sinr_db,jammed,drop_prob,impact
0,0,-0.055501,1,0.32222,0.402775
1,0,-10.1353,1,0.725411,0.906764
2,0,0.918322,1,0.283267,0.354084
3,0,-9.34794,1,0.693918,0.867397
4,0,1.2857,1,0.268572,0.335715
5,0,2.96537,1,0.201385,0.251731
6,1,4.0841,1,0.156636,0.195795
7,1,1.13788,1,0.274485,0.343106
8,1,1.54203,1,0.258319,0.322899
9,1,3.42234,1,0.183106,0.228883
10,1,4.36393,1,0.145443,0.181803
11,1,4.55792,1,0.137683,0.172104
12,2,-9.91534,1,0.716613,0.895767
13,2,-1.11476,1,0.36459,0.455738
14,2,-0.613631,1,0.344545,0.430682
15,2,-2.89776,1,0.43591,0.544888
16,2,0.455772,1,0.301769,0.377211
17,2,3.70954,1,0.171618,0.214523
