uav_id,cluster_id,throughput_kbps,pdr,avg_delay_ms,sinr_db,jammed,drop_prob
0,0,0.039256,1,6.66028,-2.06179,1,0.402472
1,0,0,0,0,-0.750699,1,0.350028
2,0,0,0,0,1.7632,1,0.249472
3,0,0,0,0,-0.13675,1,0.32547
4,0,0,0,0,3.60425,1,0.17583
5,0,0,0,0,-2.51455,1,0.420582
6,1,0,0,0,-12.8828,1,0.8
7,1,0,0,0,-0.729498,1,0.34918
8,1,0,0,0,-20.3709,1,0.8
9,1,0,0,0,-4.16768,1,0.486707
10,1,0,0,0,-3.52492,1,0.460997
11,1,0,0,0,-10.3428,1,0.733713
12,2,0,0,0,-5.05348,1,0.522139
13,2,0,0,0,1.60801,1,0.25568
14,2,0,0,0,1.7131,1,0.251476
15,2,0,0,0,2.46894,1,0.221242
16,2,0,0,0,-10.4549,1,0.738196
17,2,0,0,0,-4.39446,1,0.495778
