cluster_id,flows,throughput_kbps,avg_pdr,avg_delay_ms,tx_pkts,rx_pkts,lost_pkts
0,6,0.082,0.201,4.388,52,15,35
1,6,0.291,0.329,5.469,68,23,45
2,6,1.093,0.389,4.692,67,26,41
