uav_id,cluster_id,throughput_kbps,pdr,avg_delay_ms,sinr_db,jammed,drop_prob
0,0,1.46523,0.466667,4.62666,-8.85091,1,0.674036
1,0,0,0,0,-20.1302,1,0.8
2,0,0,0,0,-2.20089,1,0.408036
3,0,0,0,0,-4.41983,1,0.496793
4,0,0,0,0,2.03018,1,0.238793
5,0,0,0,0,-4.84488,1,0.513795
6,1,0,0,0,1.08115,1,0.276754
7,1,0,0,0,-1.97391,1,0.398957
8,1,0,0,0,-12.8301,1,0.8
9,1,0,0,0,-0.266418,1,0.330657
10,1,0,0,0,-6.46476,1,0.57859
11,1,0,0,0,-5.87951,1,0.55518
12,2,0,0,0,-6.37758,1,0.575103
13,2,0,0,0,-1.34466,1,0.373786
14,2,0,0,0,-0.90955,1,0.356382
15,2,0,0,0,-0.742218,1,0.349689
16,2,0,0,0,-5.06908,1,0.522763
17,2,0,0,0,-0.748311,1,0.349932
