metric,value
sim_duration_s,300
global_throughput_kbps,1.46523
global_pdr,0.306566
global_avg_delay_ms,4.84958
global_jitter_ms,3.5122
total_tx,187
total_rx,64
total_lost,121
routing_overhead_ratio,0.957148
ctrl_bytes_per_sec,828
avg_rekey_latency_ms,0
total_rekeys,898
global_avg_sinr_db,-4.4412
global_min_sinr_db,-20.1302
jammed_uav_count,18
