uav_id,cluster_id,sinr_db,jammed,drop_prob,impact
0,0,-8.85091,1,0.674036,0.842545
1,0,-20.1302,1,0.8,1
2,0,-2.20089,1,0.408036,0.510045
3,0,-4.41983,1,0.496793,0.620991
4,0,2.03018,1,0.238793,0.298491
5,0,-4.84488,1,0.513795,0.642244
6,1,1.08115,1,0.276754,0.345943
7,1,-1.97391,1,0.398957,0.498696
8,1,-12.8301,1,0.8,1
9,1,-0.266418,1,0.330657,0.413321
10,1,-6.46476,1,0.57859,0.723238
11,1,-5.87951,1,0.55518,0.693976
12,2,-6.37758,1,0.575103,0.718879
13,2,-1.34466,1,0.373786,0.467233
14,2,-0.90955,1,0.356382,0.445477
15,2,-0.742218,1,0.349689,0.437111
16,2,-5.06908,1,0.522763,0.653454
17,2,-0.748311,1,0.349932,0.437416
