uav_id,cluster_id,sinr_db,jammed,drop_prob,impact
0,0,-1.10013,1,0.364005,0.455007
1,0,3.30479,1,0.187808,0.234761
2,0,-0.318892,1,0.332756,0.415945
3,0,2.40158,1,0.223937,0.279921
4,0,-2.14886,1,0.405954,0.507443
5,0,-3.29299,1,0.45172,0.564649
6,1,-5.81668,1,0.552667,0.690834
7,1,3.17213,1,0.193115,0.241393
8,1,3.28969,1,0.188413,0.235516
9,1,5.55183,1,0.0979266,0.122408
10,1,3.49895,1,0.180042,0.225053
11,1,1.60536,1,0.255785,0.319732
12,2,3.69877,1,0.172049,0.215062
13,2,2.41551,1,0.22338,0.279225
14,2,2.69291,1,0.212284,0.265355
15,2,-0.991993,1,0.35968,0.4496
16,2,5.31238,1,0.107505,0.134381
17,2,1.72766,1,0.250894,0.313617
