uav_id,cluster_id,throughput_kbps,pdr,avg_delay_ms,sinr_db,jammed,drop_prob
0,0,0.0425228,1,4.75483,-1.10013,1,0.364005
1,0,0,0,0,3.30479,1,0.187808
2,0,0,0,0,-0.318892,1,0.332756
3,0,0,0,0,2.40158,1,0.223937
4,0,0,0,0,-2.14886,1,0.405954
5,0,0,0,0,-3.29299,1,0.45172
6,1,0,0,0,-5.81668,1,0.552667
7,1,0,0,0,3.17213,1,0.193115
8,1,0,0,0,3.28969,1,0.188413
9,1,0,0,0,5.55183,1,0.0979266
10,1,0,0,0,3.49895,1,0.180042
11,1,0,0,0,1.60536,1,0.255785
12,2,0,0,0,3.69877,1,0.172049
13,2,0,0,0,2.41551,1,0.22338
14,2,0,0,0,2.69291,1,0.212284
15,2,0,0,0,-0.991993,1,0.35968
16,2,0,0,0,5.31238,1,0.107505
17,2,0,0,0,1.72766,1,0.250894
