uav_id,cluster_id,throughput_kbps,pdr,avg_delay_ms,sinr_db,jammed,drop_prob
0,0,0.0425225,1,5.37914,-3.41124,1,0.45645
1,0,0,0,0,1.62198,1,0.255121
2,0,0,0,0,-0.139789,1,0.325592
3,0,0,0,0,-5.75869,1,0.550348
4,0,0,0,0,2.76114,1,0.209554
5,0,0,0,0,-6.80117,1,0.592047
6,1,0,0,0,-3.36488,1,0.454595
7,1,0,0,0,4.13584,1,0.154566
8,1,0,0,0,0.672222,1,0.293111
9,1,0,0,0,-8.28483,1,0.651393
10,1,0,0,0,-2.07254,1,0.402902
11,1,0,0,0,-10.2327,1,0.729307
12,2,0,0,0,-5.86706,1,0.554682
13,2,0,0,0,-9.98195,1,0.719278
14,2,0,0,0,1.98397,1,0.240641
15,2,0,0,0,-10.8806,1,0.755225
16,2,0,0,0,-7.87181,1,0.634872
17,2,0,0,0,-5.25636,1,0.530254
