uav_id,cluster_id,sinr_db,jammed,drop_prob,impact
0,0,-3.41124,1,0.45645,0.570562
1,0,1.62198,1,0.255121,0.318901
2,0,-0.139789,1,0.325592,0.406989
3,0,-5.75869,1,0.550348,0.687935
4,0,2.76114,1,0.209554,0.261943
5,0,-6.80117,1,0.592047,0.740058
6,1,-3.36488,1,0.454595,0.568244
7,1,4.13584,1,0.154566,0.193208
8,1,0.672222,1,0.293111,0.366389
9,1,-8.28483,1,0.651393,0.814242
10,1,-2.07254,1,0.402902,0.503627
11,1,-10.2327,1,0.729307,0.911634
12,2,-5.86706,1,0.554682,0.693353
13,2,-9.98195,1,0.719278,0.899097
14,2,1.98397,1,0.240641,0.300802
15,2,-10.8806,1,0.755225,0.944031
16,2,-7.87181,1,0.634872,0.79359
17,2,-5.25636,1,0.530254,0.662818
