uav_id,cluster_id,sinr_db,jammed,drop_prob,impact
0,0,-7.10046,1,0.604018,0.755023
1,0,2.06389,1,0.237444,0.296806
2,0,-16.2076,1,0.8,1
3,0,-5.48331,1,0.539333,0.674166
4,0,-0.878841,1,0.355154,0.443942
5,0,-1.02351,1,0.36094,0.451175
6,1,-2.25382,1,0.410153,0.512691
7,1,-3.69343,1,0.467737,0.584672
8,1,-3.34166,1,0.453666,0.567083
9,1,-0.903645,1,0.356146,0.445182
10,1,-1.90801,1,0.39632,0.4954
11,1,-1.21567,1,0.368627,0.460783
12,2,0.00998012,1,0.319601,0.399501
13,2,-2.48297,1,0.419319,0.524149
14,2,-1.23578,1,0.369431,0.461789
15,2,-8.84414,1,0.673766,0.842207
16,2,-9.70826,1,0.708331,0.885413
17,2,-1.97324,1,0.39893,0.498662
