metric,value
sim_duration_s,300
global_throughput_kbps,3.14712
global_pdr,0.268064
global_avg_delay_ms,3.91239
global_jitter_ms,2.27346
total_tx,162
total_rx,45
total_lost,117
routing_overhead_ratio,0.969513
ctrl_bytes_per_sec,828
avg_rekey_latency_ms,0
total_rekeys,903
global_avg_sinr_db,-3.67669
global_min_sinr_db,-16.2076
jammed_uav_count,18
