uav_id,cluster_id,throughput_kbps,pdr,avg_delay_ms,sinr_db,jammed,drop_prob
0,0,0.039256,1,6.7823,-0.732162,1,0.349286
1,0,0,0,0,-1.32935,1,0.373174
2,0,0,0,0,-3.35131,1,0.454052
3,0,0,0,0,-5.34416,1,0.533766
4,0,0,0,0,-3.4948,1,0.459792
5,0,0,0,0,-3.37443,1,0.454977
6,1,0,0,0,-1.14119,1,0.365648
7,1,0,0,0,-6.98368,1,0.599347
8,1,0,0,0,-11.3708,1,0.774833
9,1,0,0,0,1.02393,1,0.279043
10,1,0,0,0,-15.4422,1,0.8
11,1,0,0,0,-4.62771,1,0.505108
12,2,0,0,0,-3.31678,1,0.452671
13,2,0,0,0,-2.44521,1,0.417808
14,2,0,0,0,-5.01175,1,0.52047
15,2,0,0,0,-4.25194,1,0.490078
16,2,0,0,0,-5.12659,1,0.525063
17,2,0,0,0,0.321361,1,0.307146
