cluster_id,flows,throughput_kbps,avg_pdr,avg_delay_ms,tx_pkts,rx_pkts,lost_pkts
0,6,0.166,0.343,5.039,59,21,38
1,6,1.964,0.295,3.336,57,15,42
2,6,1.017,0.166,3.362,46,9,37
