metric,value
sim_duration_s,300
global_throughput_kbps,2.89526
global_pdr,0.312601
global_avg_delay_ms,4.67617
global_jitter_ms,1.45758
total_tx,210
total_rx,76
total_lost,129
routing_overhead_ratio,0.94952
ctrl_bytes_per_sec,828
avg_rekey_latency_ms,0
total_rekeys,898
global_avg_sinr_db,-0.137777
global_min_sinr_db,-23.5451
jammed_uav_count,18
