uav_id,cluster_id,sinr_db,jammed,drop_prob,impact
0,0,5.21502,1,0.111399,0.139249
1,0,-23.5451,1,0.8,1
2,0,2.06194,1,0.237522,0.296903
3,0,-3.94318,1,0.477727,0.597159
4,0,2.45459,1,0.221817,0.277271
5,0,4.17357,1,0.153057,0.191321
6,1,1.58875,1,0.25645,0.320563
7,1,-10.4985,1,0.739941,0.924927
8,1,2.00983,1,0.239607,0.299509
9,1,2.10964,1,0.235614,0.294518
10,1,2.95451,1,0.20182,0.252274
11,1,1.55286,1,0.257886,0.322357
12,2,0.878101,1,0.284876,0.356095
13,2,1.12666,1,0.274934,0.343667
14,2,4.5143,1,0.139428,0.174285
15,2,2.00644,1,0.239743,0.299678
16,2,0.553455,1,0.297862,0.372327
17,2,2.30712,1,0.227715,0.284644
