uav_id,cluster_id,throughput_kbps,pdr,avg_delay_ms,sinr_db,jammed,drop_prob
0,0,2.89526,0.142857,8.438,5.21502,1,0.111399
1,0,0,0,0,-23.5451,1,0.8
2,0,0,0,0,2.06194,1,0.237522
3,0,0,0,0,-3.94318,1,0.477727
4,0,0,0,0,2.45459,1,0.221817
5,0,0,0,0,4.17357,1,0.153057
6,1,0,0,0,1.58875,1,0.25645
7,1,0,0,0,-10.4985,1,0.739941
8,1,0,0,0,2.00983,1,0.239607
9,1,0,0,0,2.10964,1,0.235614
10,1,0,0,0,2.95451,1,0.20182
11,1,0,0,0,1.55286,1,0.257886
12,2,0,0,0,0.878101,1,0.284876
13,2,0,0,0,1.12666,1,0.274934
14,2,0,0,0,4.5143,1,0.139428
15,2,0,0,0,2.00644,1,0.239743
16,2,0,0,0,0.553455,1,0.297862
17,2,0,0,0,2.30712,1,0.227715
