cluster_id,flows,throughput_kbps,avg_pdr,avg_delay_ms,tx_pkts,rx_pkts,lost_pkts
0,6,0.051,0.115,3.735,58,8,49
1,6,0.430,0.201,3.753,57,12,45
2,6,0.332,0.220,3.035,69,17,52
