uav_id,cluster_id,throughput_kbps,pdr,avg_delay_ms,sinr_db,jammed,drop_prob
0,0,0.812671,0.444444,1.98974,-12.6108,1,0.8
1,0,0,0,0,-4.99021,1,0.519608
2,0,0,0,0,-1.24347,1,0.369739
3,0,0,0,0,-8.5184,1,0.660736
4,0,0,0,0,-12.7166,1,0.8
5,0,0,0,0,-7.01345,1,0.600538
6,1,0,0,0,-2.85993,1,0.434397
7,1,0,0,0,-2.40143,1,0.416057
8,1,0,0,0,-0.354623,1,0.334185
9,1,0,0,0,-9.07597,1,0.683039
10,1,0,0,0,-2.06812,1,0.402725
11,1,0,0,0,-2.73209,1,0.429284
12,2,0,0,0,-5.06887,1,0.522755
13,2,0,0,0,-6.94109,1,0.597644
14,2,0,0,0,-10.1111,1,0.724443
15,2,0,0,0,-1.91711,1,0.396684
16,2,0,0,0,-2.78809,1,0.431523
17,2,0,0,0,-3.36845,1,0.454738
