uav_id,cluster_id,sinr_db,jammed,drop_prob,impact
0,0,-12.6108,1,0.8,1
1,0,-4.99021,1,0.519608,0.649511
2,0,-1.24347,1,0.369739,0.462174
3,0,-8.5184,1,0.660736,0.82592
4,0,-12.7166,1,0.8,1
5,0,-7.01345,1,0.600538,0.750672
6,1,-2.85993,1,0.434397,0.542996
7,1,-2.40143,1,0.416057,0.520071
8,1,-0.354623,1,0.334185,0.417731
9,1,-9.07597,1,0.683039,0.853799
10,1,-2.06812,1,0.402725,0.503406
11,1,-2.73209,1,0.429284,0.536605
12,2,-5.06887,1,0.522755,0.653443
13,2,-6.94109,1,0.597644,0.747055
14,2,-10.1111,1,0.724443,0.905554
15,2,-1.91711,1,0.396684,0.495856
16,2,-2.78809,1,0.431523,0.539404
17,2,-3.36845,1,0.454738,0.568423
