metric,value
sim_duration_s,300
global_throughput_kbps,0.812671
global_pdr,0.178652
global_avg_delay_ms,3.50757
global_jitter_ms,2.26159
total_tx,184
total_rx,37
total_lost,146
routing_overhead_ratio,0.974752
ctrl_bytes_per_sec,828
avg_rekey_latency_ms,0
total_rekeys,903
global_avg_sinr_db,-5.37666
global_min_sinr_db,-12.7166
jammed_uav_count,18
