time_s,cluster_id,reason,latency_ms
75,2,COMPROMISE,0
76,0,COMPROMISE,0
76,1,COMPROMISE,0
76,2,COMPROMISE,0
77,0,COMPROMISE,0
77,1,COMPROMISE,0
77,2,COMPROMISE,0
78,0,COMPROMISE,0
78,1,COMPROMISE,0
78,2,COMPROMISE,0
79,0,COMPROMISE,0
79,1,COMPROMISE,0
79,2,COMPROMISE,0
80,0,COMPROMISE,0
80,1,COMPROMISE,0
80,2,COMPROMISE,0
81,0,COMPROMISE,0
81,1,COMPROMISE,0
81,2,COMPROMISE,0
82,0,COMPROMISE,0
82,1,COMPROMISE,0
82,2,COMPROMISE,0
83,0,COMPROMISE,0
83,1,COMPROMISE,0
83,2,COMPROMISE,0
84,0,COMPROMISE,0
84,1,COMPROMISE,0
84,2,COMPROMISE,0
85,0,COMPROMISE,0
85,1,COMPROMISE,0
85,2,COMPROMISE,0
86,0,COMPROMISE,0
86,1,COMPROMISE,0
86,2,COMPROMISE,0
87,0,COMPROMISE,0
87,1,COMPROMISE,0
87,2,COMPROMISE,0
88,0,COMPROMISE,0
88,1,COMPROMISE,0
88,2,COMPROMISE,0
89,0,COMPROMISE,0
89,1,COMPROMISE,0
89,2,COMPROMISE,0
90,0,COMPROMISE,0
90,1,COMPROMISE,0
90,2,COMPROMISE,0
91,0,COMPROMISE,0
91,1,COMPROMISE,0
91,2,COMPROMISE,0
92,0,COMPROMISE,0
92,1,COMPROMISE,0
92,2,COMPROMISE,0
93,0,COMPROMISE,0
93,1,COMPROMISE,0
93,2,COMPROMISE,0
94,0,COMPROMISE,0
94,1,COMPROMISE,0
94,2,COMPROMISE,0
95,0,COMPROMISE,0
95,1,COMPROMISE,0
95,2,COMPROMISE,0
96,0,COMPROMISE,0
96,1,COMPROMISE,0
96,2,COMPROMISE,0
97,0,COMPROMISE,0
97,1,COMPROMISE,0
97,2,COMPROMISE,0
98,0,COMPROMISE,0
98,1,COMPROMISE,0
98,2,COMPROMISE,0
99,0,COMPROMISE,0
99,1,COMPROMISE,0
99,2,COMPROMISE,0
100,0,COMPROMISE,0
100,1,COMPROMISE,0
100,2,COMPROMISE,0
101,0,COMPROMISE,0
101,1,COMPROMISE,0
101,2,COMPROMISE,0
102,0,COMPROMISE,0
102,1,COMPROMISE,0
102,2,COMPROMISE,0
103,0,COMPROMISE,0
103,1,COMPROMISE,0
103,2,COMPROMISE,0
104,0,COMPROMISE,0
104,1,COMPROMISE,0
104,2,COMPROMISE,0
105,0,COMPROMISE,0
105,1,COMPROMISE,0
105,2,COMPROMISE,0
106,0,COMPROMISE,0
106,1,COMPROMISE,0
106,2,COMPROMISE,0
107,0,COMPROMISE,0
107,1,COMPROMISE,0
107,2,COMPROMISE,0
108,0,COMPROMISE,0
108,1,COMPROMISE,0
108,2,COMPROMISE,0
109,0,COMPROMISE,0
109,1,COMPROMISE,0
109,2,COMPROMISE,0
110,0,COMPROMISE,0
110,1,COMPROMISE,0
110,2,COMPROMISE,0
111,0,COMPROMISE,0
111,1,COMPROMISE,0
111,2,COMPROMISE,0
112,0,COMPROMISE,0
112,1,COMPROMISE,0
112,2,COMPROMISE,0
113,0,COMPROMISE,0
113,1,COMPROMISE,0
113,2,COMPROMISE,0
114,0,COMPROMISE,0
114,1,COMPROMISE,0
114,2,COMPROMISE,0
115,0,COMPROMISE,0
115,1,COMPROMISE,0
115,2,COMPROMISE,0
116,0,COMPROMISE,0
116,1,COMPROMISE,0
116,2,COMPROMISE,0
117,0,COMPROMISE,0
117,1,COMPROMISE,0
117,2,COMPROMISE,0
118,0,COMPROMISE,0
118,1,COMPROMISE,0
118,2,COMPROMISE,0
119,0,COMPROMISE,0
119,1,COMPROMISE,0
119,2,COMPROMISE,0
120,0,COMPROMISE,0
120,1,COMPROMISE,0
120,2,COMPROMISE,0
121,0,COMPROMISE,0
121,1,COMPROMISE,0
121,2,COMPROMISE,0
122,0,COMPROMISE,0
122,1,COMPROMISE,0
122,2,COMPROMISE,0
