metric,value
sim_duration_s,180
global_throughput_kbps,766.868
global_pdr,0.289707
global_avg_delay_ms,4.49083
global_jitter_ms,1.8026
total_tx,170
total_rx,44
total_lost,112
routing_overhead_ratio,0.96571
ctrl_bytes_per_sec,828
avg_rekey_latency_ms,0
total_rekeys,543
global_avg_sinr_db,-3.1096
global_min_sinr_db,-17.9604
jammed_uav_count,18
