cluster_id,flows,throughput_kbps,avg_pdr,avg_delay_ms,tx_pkts,rx_pkts,lost_pkts
0,6,0.160,0.297,4.736,83,25,58
1,6,1.036,0.289,4.646,49,16,33
2,6,1.054,0.246,6.506,41,10,31
