uav_id,cluster_id,sinr_db,jammed,drop_prob,impact
0,0,-7.256,1,0.61024,0.7628
1,0,-1.15967,1,0.366387,0.457983
2,0,-7.97986,1,0.639194,0.798993
3,0,-6.00515,1,0.560206,0.700258
4,0,-0.814752,1,0.35259,0.440738
5,0,-9.9139,1,0.716556,0.895695
6,1,-7.81912,1,0.632765,0.790956
7,1,-8.77926,1,0.67117,0.838963
8,1,-17.1743,1,0.8,1
9,1,-0.372547,1,0.334902,0.418627
10,1,1.5037,1,0.259852,0.324815
11,1,-10.8192,1,0.752766,0.940958
12,2,-2.84141,1,0.433656,0.54207
13,2,-6.39059,1,0.575624,0.71953
14,2,-0.477285,1,0.339091,0.423864
15,2,-2.75901,1,0.43036,0.53795
16,2,-2.28985,1,0.411594,0.514492
17,2,-2.62575,1,0.42503,0.531288
