metric,value
sim_duration_s,300
global_throughput_kbps,2.24943
global_pdr,0.277182
global_avg_delay_ms,5.29566
global_jitter_ms,3.1303
total_tx,173
total_rx,51
total_lost,122
routing_overhead_ratio,0.965575
ctrl_bytes_per_sec,828
avg_rekey_latency_ms,0
total_rekeys,903
global_avg_sinr_db,-3.68407
global_min_sinr_db,-17.9711
jammed_uav_count,18
