cluster_id,flows,throughput_kbps,avg_pdr,avg_delay_ms,tx_pkts,rx_pkts,lost_pkts
0,6,1.144,0.270,6.866,49,13,36
1,6,0.126,0.273,4.913,55,17,38
2,6,1.026,0.236,4.729,54,13,41
