uav_id,cluster_id,throughput_kbps,pdr,avg_delay_ms,sinr_db,jammed,drop_prob
0,0,2.29545,0.125,8.7111,-0.151755,1,0.32607
1,0,0,0,0,-3.63407,1,0.465363
2,0,0,0,0,-2.7294,1,0.429176
3,0,0,0,0,-4.61948,1,0.504779
4,0,0,0,0,-2.01946,1,0.400779
5,0,0,0,0,0.00916449,1,0.319633
6,1,0,0,0,-7.17387,1,0.606955
7,1,0,0,0,2.10269,1,0.235893
8,1,0,0,0,-11.2557,1,0.770229
9,1,0,0,0,-3.30652,1,0.452261
10,1,0,0,0,-8.09365,1,0.643746
11,1,0,0,0,1.86907,1,0.245237
12,2,0,0,0,0.947848,1,0.282086
13,2,0,0,0,2.24629,1,0.230148
14,2,0,0,0,3.43971,1,0.182412
15,2,0,0,0,2.29558,1,0.228177
16,2,0,0,0,3.06693,1,0.197323
17,2,0,0,0,2.34982,1,0.226007
