cluster_id,flows,throughput_kbps,avg_pdr,avg_delay_ms,tx_pkts,rx_pkts,lost_pkts
0,6,0.266,0.446,3.907,82,35,45
1,6,0.377,0.298,4.229,83,27,56
2,6,0.135,0.247,2.962,59,17,41
