uav_id,cluster_id,sinr_db,jammed,drop_prob,impact
0,0,-0.117117,1,0.324685,0.405856
1,0,-8.86716,1,0.674686,0.843358
2,0,-1.75815,1,0.390326,0.487908
3,0,3.62576,1,0.174969,0.218712
4,0,2.86763,1,0.205295,0.256619
5,0,-0.995688,1,0.359828,0.449784
6,1,5.58063,1,0.0967748,0.120968
7,1,-8.50743,1,0.660297,0.825371
8,1,2.51612,1,0.219355,0.274194
9,1,-7.73437,1,0.629375,0.786718
10,1,0.223147,1,0.311074,0.388843
11,1,-7.17667,1,0.607067,0.758834
12,2,3.78973,1,0.168411,0.210514
13,2,2.14766,1,0.234094,0.292617
14,2,2.40106,1,0.223958,0.279947
15,2,0.790133,1,0.288395,0.360493
16,2,4.01932,1,0.159227,0.199034
17,2,2.33022,1,0.226791,0.283489
