uav_id,cluster_id,sinr_db,jammed,drop_prob,impact
0,0,2.08278,1,0.236689,0.295861
1,0,2.32574,1,0.226971,0.283713
2,0,-1.30092,1,0.372037,0.465046
3,0,-7.63923,1,0.625569,0.781961
4,0,1.88447,1,0.244621,0.305776
5,0,2.70361,1,0.211856,0.264819
6,1,-5.118,1,0.52472,0.6559
7,1,0.896134,1,0.284155,0.355193
8,1,4.08227,1,0.156709,0.195886
9,1,0.320734,1,0.307171,0.383963
10,1,-3.8521,1,0.474084,0.592605
11,1,-6.01322,1,0.560529,0.700661
12,2,1.96438,1,0.241425,0.301781
13,2,3.69944,1,0.172023,0.215028
14,2,2.73589,1,0.210564,0.263205
15,2,-1.6305,1,0.38522,0.481525
16,2,-1.9233,1,0.396932,0.496165
17,2,1.4076,1,0.263696,0.32962
