cluster_id,flows,throughput_kbps,avg_pdr,avg_delay_ms,tx_pkts,rx_pkts,lost_pkts
0,6,0.308,0.244,4.449,55,18,37
1,6,1.486,0.362,4.643,47,19,28
2,6,0.171,0.220,2.878,42,13,29
