uav_id,cluster_id,throughput_kbps,pdr,avg_delay_ms,sinr_db,jammed,drop_prob
0,0,0.039256,1,6.36169,5.23958,1,0.110417
1,0,0,0,0,-7.08428,1,0.603371
2,0,0,0,0,5.37018,1,0.105193
3,0,0,0,0,0.0513412,1,0.317946
4,0,0,0,0,-2.13046,1,0.405218
5,0,0,0,0,5.00085,1,0.119966
6,1,0,0,0,5.19179,1,0.112328
7,1,0,0,0,-0.680256,1,0.34721
8,1,0,0,0,3.25335,1,0.189866
9,1,0,0,0,3.86873,1,0.165251
10,1,0,0,0,-1.93974,1,0.39759
11,1,0,0,0,2.47377,1,0.221049
12,2,0,0,0,-1.38655,1,0.375462
13,2,0,0,0,-1.1679,1,0.366716
14,2,0,0,0,-2.25219,1,0.410088
15,2,0,0,0,3.91581,1,0.163368
16,2,0,0,0,2.73082,1,0.210767
17,2,0,0,0,0.962885,1,0.281485
