uav_id,cluster_id,sinr_db,jammed,drop_prob,impact
0,0,4.60579,1,0.135768,0.169711
1,0,2.30144,1,0.227942,0.284928
2,0,5.44239,1,0.102304,0.12788
3,0,3.68854,1,0.172458,0.215573
4,0,-6.92023,1,0.596809,0.746011
5,0,4.08011,1,0.156796,0.195995
6,1,1.70228,1,0.251909,0.314886
7,1,3.67095,1,0.173162,0.216452
8,1,4.23854,1,0.150458,0.188073
9,1,5.05121,1,0.117952,0.14744
10,1,5.13204,1,0.114718,0.143398
11,1,-3.87053,1,0.474821,0.593526
12,2,0.309265,1,0.307629,0.384537
13,2,1.92949,1,0.24282,0.303525
14,2,-1.84101,1,0.393641,0.492051
15,2,-0.396877,1,0.335875,0.419844
16,2,-0.463065,1,0.338523,0.423153
17,2,-1.63723,1,0.385489,0.481862
