metric,value
sim_duration_s,180
global_throughput_kbps,0.0425228
global_pdr,1
global_avg_delay_ms,4.23928
global_jitter_ms,2.27556
total_tx,18
total_rx,18
total_lost,0
routing_overhead_ratio,0.994714
ctrl_bytes_per_sec,828
avg_rekey_latency_ms,0
total_rekeys,543
global_avg_sinr_db,1.50128
global_min_sinr_db,-6.92023
jammed_uav_count,18
