uav_id,cluster_id,throughput_kbps,pdr,avg_delay_ms,sinr_db,jammed,drop_prob
0,0,2.99051,0.25,1.79317,-12.4565,1,0.8
1,0,0,0,0,3.32947,1,0.186821
2,0,0,0,0,-9.47057,1,0.698823
3,0,0,0,0,2.29079,1,0.228368
4,0,0,0,0,-7.42585,1,0.617034
5,0,0,0,0,-7.53066,1,0.621226
6,1,0,0,0,5.41248,1,0.103501
7,1,0,0,0,3.6376,1,0.174496
8,1,0,0,0,3.49081,1,0.180368
9,1,0,0,0,1.87656,1,0.244937
10,1,0,0,0,-8.9101,1,0.676404
11,1,0,0,0,-6.00662,1,0.560265
12,2,0,0,0,-0.417917,1,0.336717
13,2,0,0,0,0.434319,1,0.302627
14,2,0,0,0,1.55833,1,0.257667
15,2,0,0,0,4.93542,1,0.122583
16,2,0,0,0,-9.44313,1,0.697725
17,2,0,0,0,-0.419027,1,0.336761
