uav_id,cluster_id,sinr_db,jammed,drop_prob,impact
0,0,-2.10028,1,0.404011,0.505014
1,0,4.81619,1,0.127352,0.15919
2,0,3.01986,1,0.199206,0.249007
3,0,1.23109,1,0.270756,0.338445
4,0,1.96807,1,0.241277,0.301596
5,0,2.99163,1,0.200335,0.250419
6,1,1.05071,1,0.277972,0.347464
7,1,-6.65186,1,0.586074,0.732593
8,1,1.47987,1,0.260805,0.326007
9,1,-7.89887,1,0.635955,0.794943
10,1,4.0923,1,0.156308,0.195385
11,1,2.33739,1,0.226504,0.28313
12,2,3.63789,1,0.174485,0.218106
13,2,4.12368,1,0.155053,0.193816
14,2,3.66254,1,0.173498,0.216873
15,2,0.937615,1,0.282495,0.353119
16,2,1.80401,1,0.24784,0.309799
17,2,4.53874,1,0.13845,0.173063
