uav_id,cluster_id,sinr_db,jammed,drop_prob,impact
0,0,-13.2658,1,0.8,1
1,0,-8.26889,1,0.650756,0.813445
2,0,-8.13705,1,0.645482,0.806852
3,0,-6.22586,1,0.569034,0.711293
4,0,2.3136,1,0.227456,0.28432
5,0,-5.36303,1,0.534521,0.668152
6,1,0.193176,1,0.312273,0.390341
7,1,0.343421,1,0.306263,0.382829
8,1,-2.75353,1,0.430141,0.537676
9,1,-3.18385,1,0.447354,0.559192
10,1,-2.67742,1,0.427097,0.533871
11,1,-1.77937,1,0.391175,0.488968
12,2,-0.895299,1,0.355812,0.444765
13,2,-2.98352,1,0.439341,0.549176
14,2,0.847459,1,0.286102,0.357627
15,2,1.99645,1,0.240142,0.300177
16,2,1.03201,1,0.278719,0.348399
17,2,0.899119,1,0.284035,0.355044
