metric,value
sim_duration_s,300
global_throughput_kbps,3.3044
global_pdr,0.308571
global_avg_delay_ms,5.11407
global_jitter_ms,2.93066
total_tx,175
total_rx,61
total_lost,114
routing_overhead_ratio,0.959099
ctrl_bytes_per_sec,828
avg_rekey_latency_ms,0
total_rekeys,903
global_avg_sinr_db,-2.66157
global_min_sinr_db,-13.2658
jammed_uav_count,18
