cluster_id,flows,throughput_kbps,avg_pdr,avg_delay_ms,tx_pkts,rx_pkts,lost_pkts
0,6,1.983,0.389,6.681,69,28,41
1,6,1.041,0.328,4.061,65,23,42
2,6,0.281,0.208,4.600,41,10,31
